model,reasoning_type,complexity,mean_accuracy,std_accuracy,cv,n_runs
gemini_2_5_flash,weighted,1,0.9333333333333332,0.11547005383792512,0.12371791482634836,3
gemini_2_5_flash,weighted,2,0.7333333333333334,0.11547005383792519,0.15745916432444343,3
gemini_2_5_flash,weighted,3,0.6666666666666666,0.2516611478423583,0.3774917217635375,3
gemini_2_5_flash,weighted,4,0.6333333333333333,0.11547005383792512,0.18232113763882915,3
gemini_3_flash_preview,conflicting,1,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
gemini_3_flash_preview,conflicting,2,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
gemini_3_flash_preview,conflicting,3,0.9,0.09999999999999998,0.11111111111111108,3
gemini_3_flash_preview,conflicting,4,0.9,0.09999999999999998,0.11111111111111108,3
gemini_3_flash_preview,hierarchical,1,1.0,0.0,0.0,3
gemini_3_flash_preview,hierarchical,2,1.0,0.0,0.0,3
gemini_3_flash_preview,hierarchical,3,1.0,0.0,0.0,3
gemini_3_flash_preview,hierarchical,4,1.0,0.0,0.0,3
gemini_3_flash_preview,multihop,1,1.0,0.0,0.0,3
